title,year,doi,tags,phase,screening_status,excl_reasons
Status And Prospect Of Agricultural Remote Sensing,NA,10.6041/j.issn.1000-1298.2015.02.037,{},classifier round 2,excluded,"{""Data is not valued""}"
Thermal And Economic Modeling And Optimization Of Solar-Assisted Underfloor Heating System Considering Hourly Analysis,NA,10.1007/s10973-022-11417-1,{},classifier round 2b,excluded,"{""ESI data not used""}"
Health Promotion Through Primary Care: Enhancing Self-Management With Activity Prescription And Mhealth,NA,10.3810/psm.2014.09.2080,{},classifier round 2b,excluded,"{""ESI data not used""}"
Application Of Modis Satellite Data In Monitoring Water Quality Parameters Of Chaohu Lake In China,NA,10.1007/s10661-008-0156-2,{},classifier round 2b,excluded,{Validation/calibration}
"Heritage As Restitution: The Dadaab Refugee Camps, Kenya",2022,10.1111/cura.12511,"{""satellite dishes"",spurious}",classifier round 1,excluded,"{""ESI data not used""}"
"Simulating Urban Growth In Mashad City, Iran Through The Sleuth Model (Ugm)",NA,10.1016/j.cities.2008.11.005,{},classifier round 2b,excluded,"{""Data is not valued""}"
Estimate Hourly Pm2.5 Concentrations From Himawari-8 Toa Reflectance Directly Using Geo-Intelligent Long Short-Term Memory Network,NA,10.1016/j.envpol.2020.116327,{},classifier round 2b,excluded,{Validation/calibration}
Evapotranspiration For Irrigated Agriculture Using Orbital Satellites,NA,10.14393/bj-v35n3a2019-41737,{},classifier round 2b,excluded,{Validation/calibration}
Hierarchical Classification With Subsequent Aggregation Of Heathland Habitats Using An Intra-Annual Rapideye Time-Series,NA,10.1016/j.jag.2019.102036,{},classifier round 2b,excluded,{Validation/calibration}
Multi-Temporal Monitoring Of Wetland Water Levels In The Florida Everglades Using Interferometric Synthetic Aperture Radar (Insar),NA,10.1016/j.rse.2010.05.019,{},classifier round 2b,excluded,{Validation/calibration}
Agricultural Productivity Improvement-Role Of Ai And Yield Prediction Using Machine Learning,2024,10.1201/9781003435228-6,{},classifier round 1,excluded,"{""Data is not valued""}"
Evaluating Multivariable Statistical Methods For Downscaling Nighttime Land Surface Temperature In Urban Areas,NA,10.1109/access.2020.3021034,{},classifier round 2b,excluded,{Validation/calibration}
"Variation Of Airborne Bacteria And Fungi At Emperor Qin's Terra-Cotta Museum, Xi'an, China, During The ""Oct. 1"" Gold Week Period Of 2006",2010,10.1007/s11356-009-0161-1,"{""terra cotta"",spurious}",classifier round 1,excluded,"{""ESI data not used""}"
"Spring Migration Ecology Of The Mid-Continent Sandhill Crane Population With An Emphasis On Use Of The Central Platte River Valley, Nebraska",2014,10.1002/wmon.1013,{},classifier round 2b,excluded,"{""ESI data not used""}"
Homomorphic Filtering In Digital Multichannel Image Processing,2023,10.33271/nvngu/2023-3/118,{algorithm},sample 1000,excluded,"{""No societal value context"",""Data is not valued""}"
Delineation Of Landcover Boundaries In Areas Used Or Avoided By Female Woodland Caribou (Rangifer Tarandus Caribou) Using Publicly Available Spatial Datasets,NA,10.2461/wbp.2013.7,{},classifier round 2,excluded,{Validation/calibration}
River Segmentation Of Remote Sensing Images Based On Composite Attention Network,2022,10.1155/2022/7750281,"{""algorithm is valued""}",sample 1000,excluded,"{""Data is not valued""}"
Effectiveness Of An Ambient Intelligent Geriatric Management System (Ambigem) To Prevent Falls In Older People In Hospitals: Protocol For The Ambigem Stepped Wedge Pragmatic Trial,NA,10.1136/injuryprev-2017-042507,{},classifier round 2b,excluded,"{""ESI data not used""}"
A Study On The Possibility Of Religious Governance Of New Religions In Korea: Focusing On The Ecological Worldview Of Donghak And Won Buddhism,2022,10.3390/rel13121165,{},classifier excl sample,excluded,"{""ESI data not used""}"
"Mapping Wetland Areas Using Landsat-Derived Ndvi And Lswi: A Case Study Of West Songnen Plain, Northeast China",2014,10.1007/s12524-013-0357-1,{calibration},sample 1000,excluded,"{""Data is not valued""}"
Determination Of Spatiotemporal Changes In Erzurum Plain Wetland System Using Remote Sensing Techniques,NA,10.1007/s10661-021-09041-x,{},classifier round 1,excluded,"{""Data is not valued""}"
A Subspace Band Selection Method For Hyperspectral Imagery,NA,10.11834/jrs.20197508,{},classifier round 2b,excluded,"{""Data is not valued""}"
Microgrid Operational Planning Using A Hybrid Neural Network With Resource-Aware Scenario Selection,NA,10.1016/j.simpat.2022.102583,{},classifier round 2b,excluded,"{""ESI data not used""}"
A Web-Based Program For Implementing Evidence-Based Patient Safety Recommendations,NA,10.1016/s1070-3241(02)28034-7,{},classifier round 2b,excluded,"{""ESI data not used""}"
Digital Health Technology And Telemedicine-Based Hospital And Home Programs In Pulmonary Medicine During The Covid-19 Pandemic,NA,10.1097/mjt.0000000000001342,{},classifier round 2b,excluded,"{""ESI data not used""}"
Multi-Level Health Evaluation Method For On-Orbit Satellites Based On Reconfigurable Degree,NA,10.3969/j.issn.1001-506x.2018.08.15,{},classifier round 2,excluded,"{""No societal value context"",""ESI data not used""}"
A Satellite-Based Biosphere Parameterization For Net Ecosystem Co2 Exchange:: Vegetation Photosynthesis And Respiration Model (Vprm),NA,10.1029/2006gb002735,{},classifier round 2b,excluded,{Validation/calibration}
Dynamic Core-Satellite Investing Using Higher Order Moments: An Explicit Solution,2023,10.1080/14697688.2023.2269987,{},sample 1000,excluded,"{""No societal value context"",""ESI data not used""}"
Nature-Based Solutions (Nbs) For Sustainable Development Of The Resource Base And Ecosystem Services Of Marine And Coastal Ecosystems Of India,2022,10.1007/978-981-16-7128-9_15,{},sample 1000,excluded,"{""Data is not valued""}"
How Safe Is The Safety Paradigm?,2004,10.1136/qshc.2003.007070,{},sample 1000,excluded,"{""ESI data not used""}"
Extracting Tea Plantations Based On Zy-3 Satellite Data,2016,10.11975/j.issn.1002-6819.2016.z1.023,{calibration},sample 1000,excluded,"{""Data is not valued""}"
Long-Term Ecological Environment Quality Evaluation And Its Driving Mechanism In Luoyang City,2023,10.3390/su151511866,{},classifier excl sample,excluded,"{""Data is not valued""}"
A Novel Local Contrast Fusion-Based Fuzzy Model For Color Image Multilevel Thresholding Using Grasshopper Optimization,NA,10.1016/j.asoc.2019.105515,{},classifier round 2b,excluded,"{""Data is not valued""}"
Cost-Effectiveness Of Bivalirudin Versus Heparin Plus Glycoprotein Iib/Iiia Inhibitor In The Treatment Of Non-St-Segment Elevation Acute Coronary Syndromes,NA,10.1016/j.jval.2010.10.025,{},classifier round 2b,excluded,"{""ESI data not used""}"
"Urbanisation Beyond Its Core Boundary And Its Impact On The Communities In George Town Conurbation, Malaysia",2019,10.21837/pmjournal.v17.i10.627,{},classifier round 2b,excluded,"{""Data is not valued""}"
Estimation Of Land Surface Incident Shortwave Radiation From Geostationary Advanced Himawari Imager And Advanced Baseline Imager Observations Using An Optimization Method,NA,10.1109/tgrs.2020.3038829,{},classifier round 2a,excluded,{Validation/calibration}
Wearable Device-Independent Next Day Activity And Next Night Sleep Prediction For Rehabilitation Populations,2020,10.1109/jtehm.2020.3014564,{},classifier round 2b,excluded,"{""ESI data not used""}"
Biodiversity Mapping,2009,10.1016/b978-008044910-4.00006-7,{},sample 1000,excluded,"{""Data is not valued""}"
Multi-Seasonal Evaluation Of Hybrid Poplar (P. Deltoides) Plantations Using Worldview-3 Imagery And State-Of-The-Art Ensemble Learning Algorithms,2023,10.1016/j.asr.2022.10.044,{},classifier round 2b,excluded,{Validation/calibration}
"Assessment Of Sedimentation In A Coastal Lagoon: Chantuto-Panzacola, Mexico",NA,10.2112/si92-017.1,{},classifier round 2b,excluded,"{""Data is not valued""}"
A 3d Building Reconstruction Method For Sar Images Based On Deep Neural Network,NA,10.1360/ssi-2019-0100,{},classifier round 2b,excluded,{Validation/calibration}
Pan-Sharpening Of Very High Resolution Multispectral Images Using Genetic Algorithms,2006,10.1080/01431160600554991,{},classifier round 2b,excluded,"{""Data is not valued"",Validation/calibration}"
Identifying Causal Changes In Landscape Greenness With Very High-Resolution Airborne Multispectral Imagery And A Panel Data Model,NA,10.1016/j.ufug.2021.127380,{},classifier round 1,excluded,"{""Data is not valued"",Validation/calibration}"
Environmental Intelligence For More Sustainable Infrastructure Investment,2021,10.1145/3462203.3475916,{cco},early,excluded,"{""Value is not measured""}"
"Soil Erosion Risk Assessment And Spatial Mapping Using Landsat-7 Etm+, Rusle, And Gis-A Case Study",2016,10.1007/s12517-015-2157-0,{},classifier excl sample,excluded,"{""Data is not valued""}"
An Improved Approach For Downscaling Coarse-Resolution Thermal Data By Minimizing The Spatial Averaging Biases In Random Forest,NA,10.3390/rs12213507,{},classifier round 2b,excluded,{Validation/calibration}
Solar-Powered Sensors: A Review Of Products And Applications,NA,10.1108/02602281211209374,{},classifier round 2a,excluded,"{""ESI data not used""}"
Multi-Algorithm Comparison For Predicting Soil Salinity,2020,10.1016/j.geoderma.2020.114211,"{algorithm,calibration}",sample 1000,excluded,"{""Data is not valued""}"
"An Application Of Geographic Information System (Gis) To A Fictitous Thermal Power Plant In Mersin, Turkey: An Application Of Dispersion Modelling Coupled With Gis",NA,10.1023/a:1025448805070,{},classifier round 2,excluded,"{""Data is not valued""}"
Developing Collaborative Classifiers Using An Expert-Based Model,NA,10.14358/pers.75.7.831,{},classifier round 2b,excluded,"{""Data is not valued""}"
"Vegetation Mapping Of A Tropical Freshwater Swamp In The Northern Territory, Australia: A Comparison Of Aerial Photography, Landsat Tm And Spot Satellite Imagery",2001,10.1080/01431160119174,{},classifier excl sample,excluded,{Validation/calibration}
Adoption Of Exhaust Air Dust Testing In Spf Rodent Facilities,NA,10.30802/aalas-jaalas-19-000079,"{""sentinel animals""}",classifier round 2b,excluded,"{""ESI data not used""}"
"Assessment And Analysis Of Morphometric Characteristics Of Lake Tana Sub-Basin, Upper Blue Nile Basin, Ethiopia",2023,10.1080/15715124.2021.1938091,{},classifier excl sample,excluded,"{""Data is not valued""}"
Connecting Earth Observation to High-Throughput Biodiversity Data,2017,http://dx.doi.org/10.1038/s41559-017-0176,{},soc ben repo,excluded,"{""Data is not valued""}"
Pm2.5 Pollution Is Substantially Affected By Ammonia Emissions In China,NA,10.1016/j.envpol.2016.08.027,{},classifier round 2b,excluded,"{""Data is not valued""}"
National Positioning Infrastructure: Identifying And Evaluating High Accuracy Gnss Service Coverage Across Australia,NA,10.1080/14498596.2013.812025,{},classifier round 2b,excluded,"{""ESI data not used""}"
Assessing The Impact Of The 2004 Indian Ocean Tsunami On South Andaman's Coastal Shoreline: A Geospatial Analysis Of Erosion And Accretion Patterns,2023,10.3390/jmse11061134,{},sample 1000,excluded,"{""Data is not valued""}"
The Use Of Chronic Disease Risk Factor Surveillance Systems For Evidence-Based Decision-Making: Physical Activity And Nutrition As Examples,2010,10.1007/s00038-009-0098-7,"{""sentinel surveillance""}",sample 1000,excluded,"{""ESI data not used""}"
Forest Fire Susceptibility And Risk Mapping Using Remote Sensing And Geographical Information Systems (Gis),2007,10.1108/09653560710758297,{},sample 1000,excluded,"{""Data is not valued""}"
A High-Precision Water Body Extraction Method Based On Improved Lightweight U-Net,NA,10.3390/rs14174127,{},classifier round 2a,excluded,{Validation/calibration}
Assessment Of Quickbird High Spatial Resolution Imagery To Detect Red Attack Damage Due To Mountain Pine Beetle Infestation,NA,10.1016/j.rse.2006.03.012,{},classifier round 2b,excluded,{Validation/calibration}
Acceleration Of Atmospheric Cherenkov Telescope Signal Processing To Real-Time Speed With The Auto-Pipe Design System,NA,10.1016/j.nima.2008.06.047,{},classifier round 2b,excluded,"{""ESI data not used""}"
Comparative Land Evaluation Approaches: An Itinerary From Fao Framework To Simulation Modelling,NA,10.1016/j.geoderma.2009.02.020,{},classifier round 2b,excluded,"{""Data is not valued""}"
How Health Relationship Management Services (Hrms) Benefits Corporate Wellness,NA,10.21103/article6(2)\_cc2,{},classifier round 2a,excluded,"{""ESI data not used""}"
Bci: A Biophysical Composition Index For Remote Sensing Of Urban Environments,NA,10.1016/j.rse.2012.09.009,{},classifier round 2b,excluded,{Validation/calibration}
"Assessment Of Spatial Distribution Of Rain-Induced And Earthquake-Triggered Landslides Using Geospatial Techniques Along North Sikkim Road Corridor In Sikkim Himalayas, India",2023,10.1007/s10708-022-10585-9,{},sample 1000,excluded,"{""Data is not valued""}"
Monitoring The Variation Of Vegetation Water Content With Machine Learning Methods: Point-Surface Fusion Of Modis Products And Gnss-Ir Observations,2019,10.3390/rs11121440,{},classifier round 2b,excluded,{Validation/calibration}
The Role of Geoscience Information in Reducing Catastrophic Loss Using a Web-Based Economics Experiment,2003,https://pubs.usgs.gov/pp/1683/,"{""experimental econ""}",soc ben repo,excluded,"{""Valued data is not ESI""}"
Stochastic Programming Solution For Placement Of Satellite Ground Stations,NA,10.1007/s10479-018-2798-y,"{""values ground stations""}",classifier round 2a,excluded,"{""ESI data not used""}"
Comparison Of Active And Passive Spectral Sensors In Discriminating Biomass Parameters And Nitrogen Status In Wheat Cultivars,NA,10.1016/j.fcr.2011.06.007,{},classifier round 2b,excluded,{Validation/calibration}
"Spatiotemporal Dynamics Of The Bare Soil Cover In The Hetian Basinal Area Of County Changting, China, During The Past 35 Years",2013,10.5846/stxb201204210575,{},sample 1000,excluded,"{""Data is not valued""}"
Examination Of The Relationships Between Urban Form And Urban Public Services Expenditure In China,2017,10.3390/admsci7040039,{},sample 1000,excluded,"{""Data is not valued""}"
Concepts Of Geotechnical Mapping For River Valley Projects In Western India,1979,10.1007/bf02600479,{},classifier round 1,excluded,"{""Data is not valued""}"
Making Ecological Models Adequate,NA,10.1111/ele.12893,{},classifier round 2b,excluded,"{""ESI data not used""}"
"A Comparative Assessment Of Support Vector Regression, Artificial Neural Networks, And Random Forests For Predicting And Mapping Soil Organic Carbon Stocks Across An Afromontane Landscape",NA,10.1016/j.ecolind.2014.12.028,{duplicate},classifier round 2b,excluded,"{""Data is not valued""}"
Drought Monitoring Utility Assessment Of Chirps And Gleam Satellite Products In China,NA,10.11975/j.issn.1002-6819.2019.15.019,{},classifier round 2b,excluded,{Validation/calibration}
A Dlm-Lstm Framework For North-South Land Deformation Trend Analysis From Low-Cost Gps Sensor Time Series,NA,10.1155/2018/3054295,{},classifier round 2b,excluded,"{""ESI data not used""}"
An Open-Source Platform For Gis Data Management And Analytics,NA,10.3390/s23083788,{},classifier round 2a,excluded,"{""Data is not valued""}"
Optimizing The Gabor Bandwidth Of Satellite Navigation Signals By Mcs Signal Expression,2011,10.1007/s11433-011-4329-6,{navigation},sample 1000,excluded,"{""No societal value context""}"
Comparison Of The Efficiency And Cost Of West Nile Virus Surveillance Methods In California,2015,10.1089/vbz.2014.1689,{},classifier round 2b,excluded,"{""ESI data not used""}"
"Assessment Of Land Use Land Cover Changes And Future Predictions Using Ca-Ann Simulation For Gazipur City Corporation, Bangladesh",NA,10.3390/su151612329,{},classifier round 1,excluded,"{""Data is not valued""}"
Study On Meteorological Disaster Monitoring Of Field Fruit Industry By Remote Sensing Data,2022,10.1155/2022/1659053,{},classifier excl sample,excluded,"{""Data is not valued""}"
"Rosile, Grace Ann: Horse Sense At Work",2021,10.1007/978-3-030-38324-4_106,{},sample 1000,excluded,"{""No societal value context"",""ESI data not used""}"
A Proposal For A Forest Digital Twin Framework And Its Perspectives,NA,10.3390/f13040498,{},classifier round 2b,excluded,"{""Data is not valued""}"
Big Data For Remote Sensing: Challenges And Opportunities,NA,10.1109/jproc.2016.2598228,"{""big data methods valued""}",classifier round 2,excluded,"{""Data is not valued""}"
"Monitoring Precipitation From Space: Progress, Challenges, And Opportunities",NA,10.1016/b978-0-12-822973-6.00021-4,{},classifier round 2b,excluded,"{""Data is not valued""}"
"Marine Mammals Of Mexico: Richness Patterns, Protected Areas, And Conservation Trends",2018,10.1016/j.ecss.2018.05.002,"{""\""sentinel\""""}",classifier excl sample,excluded,"{""ESI data not used""}"
A Decision Support Tool For Green Infrastructure Planning In The Face Of Rapid Urbanization,NA,10.3390/land12020415,{},classifier round 2,excluded,"{""Data is not valued""}"
Self-Supervised Remote Sensing Image Change Detection Based On High Frequency Feature And Gate Attention-Guided Optimization Unit,NA,10.1117/1.jrs.17.024518,{},classifier round 2,excluded,"{""Data is not valued"",Validation/calibration}"
Artificial Intelligence Framework For Modeling And Predicting Crop Yield To Enhance Food Security In Saudi Arabia,NA,10.7717/peerj-cs.1104,{},classifier round 1,excluded,{Validation/calibration}
Cost-Effectiveness Of Strategies For Preventing Paediatric Lower Respiratory Infections Associated With Respiratory Syncytial Virus In Eight Chinese Cities,2021,10.1016/j.vaccine.2021.08.057,"{""sentinel surveillance""}",sample 1000,excluded,"{""ESI data not used""}"
New Perspectives In The Monitoring Of Marine Sedimentary Transport By Satellites—Advantage And Research Directions,NA,10.1007/978-981-15-2081-5_46,{},classifier round 2a,excluded,"{""Data is not valued""}"
Information Technology And Public Health Management Of Disasters-A Model For South Asian Countries,2005,10.1017/S1049023X00002156,{cco},early,excluded,"{""ESI data not used""}"
Ecological Momentary Assessment And Intervention In The Treatment Of Psychotic Disorders: A Systematic Review,NA,10.1176/appi.ps.201600523,{},classifier round 2b,excluded,"{""ESI data not used""}"
"Earthquake Ground Motion Intensity Map Of The 21 May, 2021 Ms6.4 Yangbi, Yunnan Earthquake",2021,10.3969/j.issn.0253-4967.2021.04.010,{},classifier round 2b,excluded,"{""Data is not valued""}"
Integrating Satellite Imagery With Simulation Modeling To Improve Burn Severity Mapping,NA,10.1007/s00267-014-0279-x,{},classifier round 2b,excluded,{Validation/calibration}
Demystifying The Differences Between Structure-From-Motion Software Packages For Pre-Processing Drone Data,NA,10.3390/drones6010024,{},classifier round 2b,excluded,"{""Data is not valued""}"
Implementation Of Activity Sensor Equipment In The Homes Of Chronic Obstructive Pulmonary Disease Patients,NA,10.1089/tmj.2016.0201,{},classifier round 2b,excluded,"{""ESI data not used""}"
Geonetcast: Global Satellite Data Dissemination And The Technical And Social Challenges,NA,10.1130/2011.2482(08),{},classifier round 2,excluded,"{""Data is not valued""}"
Renewable Energy: The Potential Opportunities And Obligations Of Plantation Forestry,2009,10.2989/sf.2009.71.1.11.748,{},sample 1000,excluded,"{""ESI data not used""}"
"Assessing The Utility Of The Spot 6 Sensor In Detecting And Mapping Lantana Camara For A Community Clearing Project In Kwazulu-Natal, South Africa",NA,10.4314/sajg.v5i2.9,{},classifier round 2b,excluded,{Validation/calibration}
"Estimation Of Vegetative Fuel Loads Using Landsattm Imagery In New South Wales, Australia",NA,10.1071/wf03032,{},classifier round 2b,excluded,{Validation/calibration}
Spatial Technologies To Strengthen Traditional Testing For Sars-Cov-2,2021,10.1016/j.tim.2021.03.003,{},classifier round 2b,excluded,"{""ESI data not used""}"
Application Of Postprocessing Kinematic Methods With Uas Remote Sensing In Forest Ecosystems,NA,10.1093/jofore/fvab021,{},classifier round 2b,excluded,"{""Data is not valued""}"
Credible Remote Sensing Scene Classification Using Evidential Fusion On Aerial-Ground Dual-View Images,NA,10.3390/rs15061546,{},classifier round 2,excluded,{Validation/calibration}
Blending Risk Management And Quality Improvement In An Anesthesia Program,NA,10.1097/01445442-200201000-00005,{},classifier round 2b,excluded,"{""ESI data not used""}"
Retrieval Of Atmospheric Temperature Profiles From Amsu-A Measurement Using A Neural Network Approach,NA,10.1175/1520-0426(2001)018<0340:roatpf>2.0.co;2,{},classifier round 2b,excluded,{Validation/calibration}
A 6-Year-Long (2013-2018) High-Resolution Air Quality Reanalysis Dataset In China Based On The Assimilation Of Surface Observations From Cnemc,NA,10.5194/essd-13-529-2021,{},classifier round 2,excluded,{Validation/calibration}
Marine Ecological Footprint Indicates Unsustainability Of The Pohnpei (Micronesia) Coral Reef Fishery,2015,10.1017/s037689291400023x,{},sample 1000,excluded,"{""Data is not valued""}"
"Determining The Numbers Of A Landscape Architect Species (Tapirus Terrestris), Using Footprints",NA,10.7717/peerj.4591,{},classifier round 2b,excluded,"{""ESI data not used""}"
Remote Sensing Monitoring And Ecological Effect Assessment Of Land Creation In Lanzhou City,2020,10.14188/j.2095-6045.2018305,{},classifier excl sample,excluded,"{""Data is not valued""}"
A Satellite-Based Daily Actual Evapotranspiration Estimation Algorithm Over South Florida,NA,10.1016/j.gloplacha.2008.12.008,{},classifier round 2b,excluded,{Validation/calibration}
Inclusive Design of Earth Observation Decision Support Systems for Environmental Governance: A Case Study of Lake Nokoué,2021,https://doi.org/10.3389/fclim.2021.717418,{},soc ben repo,excluded,"{""Data is not valued""}"
Approaches To Forecasting Damage By Invasive Forest Insects And Pathogens: A Cross-Assessment,NA,10.1093/biosci/biac108,{},classifier round 2b,excluded,"{""ESI data not used""}"
The Role Of Televideoconferences In Dairy Extension Education Programs,NA,10.3168/jds.s0022-0302(92)78101-6,{},classifier round 2b,excluded,"{""ESI data not used""}"
Retraction: Bso Feature Selection Based Machine Learning Solar Radiation Prediction,2021,10.1088/1742-6596/1916/1/012030,{},sample 1000,excluded,"{""Data is not valued""}"
Evaluating The Suitability Of The Consumer Low-Cost Parrot Flower Power Soil Moisture Sensor For Scientific Environmental Applications,NA,10.5194/gi-9-117-2020,{},classifier round 2b,excluded,"{""ESI data not used"",""Data is not valued""}"
Using Virtual Environments To Improve The Realism Of Choice Experiments: A Case Study About Coastal Erosion Management,NA,10.1016/j.jeem.2016.08.001,{},classifier round 2a,excluded,"{""Data is not valued""}"
A New Remote-Sensing-Based Indicator For Integrating Quantity And Quality Attributes To Assess The Dynamics Of Ecosystem Assets,NA,10.1016/j.gecco.2020.e00999,{},classifier round 1,excluded,"{""Data is not valued""}"
"A Biological Battlefield: The Potential Applications Of Using Remote Sensing Technology And Biomarker Organisms For Identifying, Tracking, And Differentiating Persons Of Interest Within An Area Of Operations",NA,10.5912/jcb643,{},classifier round 2b,excluded,"{""Data is not valued""}"
Validity Of The Grace Score For 6-Month Death Or Reinfarction After Presentation With Acute Myocardial Infarction In Patients 80 Years Of Age And Older,NA,10.1097/mca.0000000000000023,{},classifier round 2b,excluded,"{""ESI data not used""}"
Model-Driven Coordinated Management Of Data Centers,NA,10.1016/j.comnet.2010.08.011,{},classifier round 2,excluded,"{""No societal value context"",""ESI data not used""}"
An Intelligent Hot-Desking Model Harnessing The Power Of Occupancy Sensing Data,NA,10.1108/f-01-2016-0014,{spurious},classifier round 1,excluded,"{""No societal value context"",""ESI data not used""}"
Participatory Risk Assessment Of Pluvial Floods In Four Towns Of Niger,NA,10.1016/j.ijdrr.2022.103454,{},classifier round 2b,excluded,"{""Data is not valued""}"
Combining Hyper-Resolution Land Surface Modeling With Smap Brightness Temperatures To Obtain 30-M Soil Moisture Estimates,NA,10.1016/j.rse.2020.111740,{},classifier round 1,excluded,{Validation/calibration}
Classification Of Expansive Grassland Species In Different Growth Stages Based On Hyperspectral And Lidar Data,2018,10.3390/rs10122019,{calibration},sample 1000,excluded,"{""Data is not valued""}"
Value Generation Through Public Procurement of Innovative Earth Observation Applications: Service-Dominant Logic Perspective,2021,https://doi.org/10.1089/space.2021.0016,{},soc ben repo,excluded,"{""Data is not valued""}"
A Systematic Evaluation Of Influence Of Image Selection Process On Remote Sensing-Based Burn Severity Indices In North American Boreal Forest And Tundra Ecosystems,NA,10.1016/j.isprsjprs.2019.11.011,{},classifier round 2b,excluded,"{""Data is not valued""}"
Tamsat-Alert V1: A New Framework For Agricultural Decision Support,2018,10.5194/gmd-11-2353-2018,"{maybe,""check it out""}",sample 1000,excluded,"{""Data is not valued""}"
Using Goal-Directed Design To Create A Novel System For Improving Chronic Illness Care,NA,10.2196/resprot.2749,{},classifier round 2b,excluded,"{""ESI data not used""}"
"Integrating Gis And Fuzzy Logic For Urban Solid Waste Management (A Case Study Of Sanandaj City, Iran)",2007,10.3923/pjbs.2007.4000.4007,{maybe},sample 1000,excluded,"{""Data is not valued""}"
"Assessment Of Forest Resources Based On Sentinel-2 Images – Case Study Derventa, Bih (Cadastral Municipality Of Brezici)",NA,10.31298/sl.147.7-8.4,{},classifier round 2b,excluded,{Validation/calibration}
Remote Sensing Image Compression Assessment Based On Multilevel Distortions,NA,10.1117/1.jrs.8.083680,{},classifier round 2,excluded,{Validation/calibration}
Pooling Sera To Reduce The Cost Of Hiv Surveillance: A Feasibility Study In A Rural Kenyan District,NA,10.1046/j.1365-3156.1998.00293.x,{},classifier round 2b,excluded,"{""ESI data not used""}"
Toward Integrated Earth Sensing: The Role of In Situ Sensing,2002,https://www.isprs.org/proceedings/XXXIV/part1/paper/00097.pdf,{},soc ben repo,excluded,"{""Data is not valued""}"
Evaluation Of Urban Sprawl From Space Using Open Source Technologies,NA,10.1016/j.ecoinf.2014.05.005,{},classifier round 2b,excluded,{Validation/calibration}
4d-Trajectory Air Traffic Management: Are There 'Killer Apps'? - Part 2,2012,10.1017/s0373463312000173,"{""sat nav""}",classifier round 1,excluded,"{""ESI data not used""}"
Integrating Soil Moisture Retrieved From L-Band Microwave Radiation Into An Energy Balance Model To Improve Evapotranspiration Estimation On The Irrigated Oases Of Arid Regions In Northwest China,2015,10.1016/j.agrformet.2015.08.260,{},sample 1000,excluded,"{""Data is not valued""}"
User's Cognitive-Behavior-Based Preference Access Under Disease-Specific Online Medical Inquiry Text Mining,NA,10.1109/tem.2022.3143432,{},classifier round 2b,excluded,"{""ESI data not used""}"
Contribution From Long-Term Ecological Monitoring To Research And Management Of Donana Ltser Platform,NA,10.7818/ecos.2016.25-1.03,{},classifier round 2a,excluded,"{""Review or opinion""}"
Earth observations and Health decisions,2010,https://www.isprs.org/proceedings/XXXVIII/part8/headline/GEO%20Special%20Session%20-%201/GEO12_20100,{},soc ben repo,excluded,"{""Data is not valued""}"
"Prediction Of Gwl With The Help Of Grace Tws For Unevenly Spaced Time Series Data In India : Analysis Of Comparative Performances Of Svr, Ann And Lrm",NA,10.1016/j.jhydrol.2018.02.005,{},classifier round 2b,excluded,{Validation/calibration}
An Improved Random Forest Model For The Prediction Of Dam Displacement,NA,10.1109/access.2021.3049578,{},classifier round 2b,excluded,"{""ESI data not used""}"
Multi-Point Hybrid Model Based On Pso-Svm For Concrete Arch Dam Deformation Monitoring,NA,10.13203/j.whugis20200431,{},classifier round 2b,excluded,"{""ESI data not used""}"
Model-Based Assessment Of The Pattern Differences And The Equity Of National Carbon Emissions In China During 2000-2010,2015,10.1016/j.jclepro.2014.08.066,{},classifier round 1,excluded,"{""Data is not valued""}"
"Ship-Based Contributions To Global Ocean, Weather, And Climate Observing Systems",NA,10.3389/fmars.2019.00434,{},classifier round 2b,excluded,"{""Review or opinion""}"
Building Extraction In Very High Resolution Imagery By Dense-Attention Networks,NA,10.3390/rs10111768,{},classifier round 2b,excluded,{Validation/calibration}
India: Recent Developments In Space Business And Regulation,2023,10.4324/9781003268475-16,{},classifier round 2b,excluded,"{""ESI data not used""}"
A Novel Deep Learning Method To Identify Single Tree Species In Uav-Based Hyperspectral Images,NA,10.3390/rs12081294,{},classifier round 2b,excluded,{Validation/calibration}
Essential Earth observation variables for high-level multi-scale indicators and policies,2022,https://doi.org/10.1016/j.envsci.2021.12.024,{interesting},soc ben repo,excluded,"{""Review or opinion""}"
Integrating Forest Cover Change And Carbon Storage Dynamics: Leveraging Google Earth Engine And Invest Model To Inform Conservation In Hilly Regions,2023,10.1016/j.ecolind.2023.110374,{},sample 1000,excluded,"{""Data is not valued""}"
A Survey Based Approach To Estimating The Benefits Of Energy Efficiency Improvements In Street Lighting Systems In Indonesia,NA,10.1016/j.rser.2015.12.294,{},classifier round 2b,excluded,"{""ESI data not used""}"
A Nonparametric Approach To Filling Gaps In Satellite-Retrieved Aerosol Optical Depth For Estimating Ambient Pm2.5 Levels,2018,10.1016/j.envpol.2018.09.052,{algorithm},sample 1000,excluded,"{""Data is not valued""}"
Applications Of Radar-Based Nowcasting Techniques For Mesoscale Weather Forecasting In Hong Kong,2004,10.1017/s1350482704001331,{},classifier round 2b,excluded,"{""Data is not valued"",""Review or opinion""}"
